"Real long term government bond yield, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Zealand,,,,,1.629390001,1.703760028,2.507070065,-0.605372012,1.244500041,0.666952014,-1.040850043,-4.937099934,-1.392930031,-2.325900078,-5.168640137,-8.203300476,-8.449299812,-5.356649876,-1.924190044,-1.665179968,-3.795320034,-2.618560076,-3.215519905,4.735479832,6.440750122,1.620210052,2.779109955,-0.441653013,7.628819942,6.662290096,6.259190083,6.3604002,6.836619854,4.770400047,6.973289967,3.454070091,4.928009987,5.552949905,5.0136199,6.560679913,3.53478779,3.994190486,3.602917336,4.296374013,3.659758114,2.792990138,2.404601209,4.023869093,0.921026065,3.904386543,3.517947268,-0.117895639,2.500065487,3.625582703,2.542469205,3.257303144,2.683775182,0.909217498,0.851702962,-0.089631902,-0.7945617
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.180287273,6.576090413,,,,,
Norway,3.746670008,2.160660028,0.11129,1.883080006,-0.283881009,0.73468101,2.468349934,0.061728001,1.410590053,1.710909963,-3.600110054,0.400000006,-1.277169943,-0.827543974,-2.736069918,-3.904030085,-2.145970106,-1.812450051,0.584830999,3.381669998,-0.623588979,-1.080360055,1.786010027,4.377769947,5.971079826,7.060190201,6.271669865,4.884630203,6.274720192,6.24932003,6.564489841,6.470160007,7.442059994,4.24518013,5.728099823,4.366930008,4.684639931,3.309659958,3.133280039,3.164360046,3.132827242,3.232469627,5.097441383,2.557174465,3.913834831,2.213699657,1.747316859,4.061577593,0.704402516,1.800947465,1.109426939,1.850048412,1.404802555,0.457013796,0.473297133,-0.606136654,-2.218333333,-0.237600596,-0.885664679,-0.673563366,-0.469084907
Pakistan,,,,,,,,,,,,,,,,,,,,,,,9.868160248,10.33689976,12.05119991,11.44110012,8.849949837,8.858810425,5.225719929,8.680390358,6.459449768,7.127590179,8.867099762,7.269420147,6.028530121,7.914929867,5.962860107,7.260540009,5.284220219,7.903800011,6.244150162,2.594209909,3.704999924,1.413810015,0.862631023,1.908349991,2.824170113,2.894320011,1.116750002,2.344150066,1.62966001,1.44966,2.044577802,3.171094584,4.685525632,5.18972117,2.553069801,2.306412732,4.656047966,2.093557234,-0.786615293
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.645795663,6.268328986,5.434392061,5.492067665,4.270626554,3.166530501,2.296666667,2.345276922,0.362751989,1.815439869,0.671783664,-5.223683177,1.188446959,-0.270038726,-3.22538577,-3.019866258,-1.339243249,0.092580389,2.575295604,1.938166608,1.847330748,2.113004974,3.522583821,4.466108741
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.214195594,5.801537623,7.510316212,-1.523084901,4.741674674,4.848895232,4.477041,4.523628278,3.171349143,4.926216139,4.794458885,4.41543785,5.526329344,6.76217744,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.863526576,7.089883895,6.513476227,9.024320604,8.749645663,6.369120992,5.76840276,7.004117931,4.789926213,6.083296428,4.909359808,2.240145793,1.813498175,5.802421138,1.820997959,5.295264763,4.956287975,3.178963517,2.862716789,1.924675768,1.675519644,4.831537122,4.143321897,2.851042033,2.180321759,2.767234656,1.571337607
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.083,1.969,5.181666667,5.455833333,5.042431104,3.358441852,3.008795515,4.035045236,3.012264159,1.730044066,2.335251154,3.191218628,1.729792195,1.273346016,2.915969892,3.410965704,4.439582096,4.491647775,1.842019504,2.043927603,1.56728297,0.433207744
Portugal,,,,,,,,,,,,,,,,,0.538478971,3.730560064,11.69419956,12.21430016,10.82089996,-4.446909904,-5.938549995,-5.883140087,-7.797500134,1.413450003,3.872750044,5.62112999,4.291649818,3.020220041,5.180719852,6.841279984,6.513450146,6.516479969,5.85819006,6.37473011,5.62609005,4.46762991,2.665780067,2.611700058,2.785069128,0.749692201,1.314288169,0.988169262,1.659799955,1.412710559,0.694012534,1.997988207,1.863186968,5.100962844,3.913712264,6.619454444,7.822007,5.828372227,3.912780331,1.920490446,2.568296935,1.50505216,0.679266622,1.468178925,0.538837769
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.022690616,0.671485877,2.301004045,-0.154969219,4.106746624,1.245249978,0.861580033,2.350910654,0.263620971,1.14210683,1.868323114,2.190630006,-0.755497318,-2.379651084,-2.26285431,-0.048573126
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.252404928,-41.80094528,-0.745442033,-8.415679932,-8.628487587,-4.417319775,-2.451263666,-4.76776123,-2.923369646,-2.475066423,-6.49027729,-0.367405206,0.856866479,-0.193506792,3.007481575,0.662764251,1.617144942,-4.387516975,1.826765537,4.161168575,5.147379875,3.115267038,2.891739607
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.831771262,5.573087915,7.340255032,5.802288028,,,,,
